avail_period,item_code
67,757
77,784
59,684
68,3179
63,3178
77,651
63,3170
63,3172
68,3300
58,3184
68,3259
58,3180
68,2440
68,3182
68,3210
68,3294
66,3364
63,3174
84,3212
66,38
70,2973
68,3217
70,2407
58,3183
59,3288
68,3256
126,17
59,37
91,669
63,3171
59,3278
84,689
68,3265
68,3209
70,2408
68,3176
58,3181
68,3269
68,3290
68,3216
68,3254
68,3226
84,667
91,699
68,3990
68,3257
68,3301
91,668
84,641
126,644
68,2949
91,2497
133,2153
133,1773
133,2154
133,2061
126,1396
84,3072
126,2363
126,1236
98,2746
77,677
119,975
70,2351
77,2421
68,3063
119,2030
112,705
91,2522
105,2317
119,1405
105,2568
126,1725
91,2318
126,1825
126,2014
126,1640
68,2365
105,2558
119,1501
70,3205
126,3886
126,1575
91,1770
126,1246
68,3992
68,3120
119,1446
91,2456
91,2457
68,2
68,1
126,1005
112,3344
105,1944
119,1151
77,3157
91,2471
91,2510
91,2511
119,1176
70,3206
126,1182
119,1829
68,814
68,3125
68,3142
119,1803
126,2277
77,2938
126,2282
91,2444
70,2352
126,1255
84,2354
126,1111
126,1548
112,1594
91,2451
126,903
98,2376
68,816
66,2377
119,1245
112,4162
112,845
98,2863
126,2911
70,2422
91,647
126,1337
91,2423
126,916
126,1339
126,2286
68,3221
126,2622
133,3480
84,2341
77,3027
126,1237
77,3028
70,2378
68,3989
77,2859
77,2293
77,2294
119,1669
77,2383
126,904
68,2991
119,1276
126,846
126,1351
126,2692
77,2771
126,1354
70,3124
126,1366
98,2630
77,2561
98,681
68,2992
68,2957
119,3882
70,690
68,2952
77,2424
126,1517
126,2425
133,2164
133,2064
126,1361
105,2663
98,3078
119,1289
126,1365
126,1369
119,865
119,2565
119,3761
119,1425
126,1785
77,2347
98,680
91,2446
126,1343
126,2237
126,1462
77,2314
126,1387
126,1572
126,909
68,3371
133,2165
126,1381
126,89
126,1383
126,1384
126,1449
126,1454
112,1589
126,1388
91,2476
70,3007
126,3330
77,3008
70,3020
126,1160
68,3112
77,2295
77,2296
91,2463
70,2297
91,2464
70,2298
126,2893
126,1395
126,1398
119,1588
112,1929
126,881
77,2560
84,2348
126,2694
77,2349
133,1674
126,1490
119,1139
126,1165
70,4187
77,3081
133,2222
68,3991
77,3070
91,2465
126,653
67,761
126,1408
91,2410
126,1494
133,1996
126,1047
126,2693
126,2596
126,1412
126,1414
77,3108
105,1416
70,3138
126,2737
70,3139
91,2576
119,2581
119,1988
119,867
84,2865
70,3146
68,2381
126,1752
133,2113
119,2606
105,2668
98,2499
70,3022
126,1250
63,2866
126,2717
126,1303
126,1311
126,1713
119,864
126,1103
70,2350
126,1033
126,1424
91,2419
126,2279
112,1869
126,1583
66,3857
126,1062
119,2058
68,3271
126,1108
91,438
68,2958
126,1110
119,1349
112,1872
70,670
119,1378
126,1270
133,2013
126,2384
77,3144
68,2385
119,3348
68,2386
119,1980
68,2359
126,29
126,2850
77,2551
112,2686
126,1429
126,1403
98,2851
119,1751
119,1683
126,1755
126,1587
126,2035
126,1123
66,2559
126,1053
105,3887
119,2037
126,2036
119,2038
133,1790
77,2387
119,1094
68,3050
98,2913
91,2333
119,1451
119,2633
126,1435
119,2637
126,1128
126,1076
98,2475
98,980
91,2041
133,2102
126,1092
112,2043
68,662
126,2900
126,1479
98,1652
119,1687
77,3001
68,2988
119,1653
119,1087
119,976
77,2937
126,2640
68,3073
119,1213
133,2877
126,1138
126,1078
133,2878
126,1140
126,1144
68,3048
119,2045
77,3099
91,2512
119,1470
126,1146
70,2932
68,2959
77,2487
133,2117
70,675
91,2048
68,3262
133,1994
119,1147
119,1335
119,1655
119,1529
119,3625
126,1342
126,1344
126,2896
126,902
133,2100
77,3185
126,1590
77,3186
126,1088
126,3379
119,863
67,760
126,1153
126,706
126,1243
133,2107
126,1191
133,3475
119,1974
91,2600
126,1326
112,1964
126,1356
126,1359
105,2490
126,3622
98,2679
77,3052
133,2605
126,1161
119,1287
133,1747
119,1712
126,1564
126,19
66,4004
68,4139
68,2950
126,1169
119,1226
98,631
126,949
98,632
133,1760
112,1833
68,709
133,1909
126,1568
126,2084
126,1373
126,2886
126,1377
126,1379
91,2491
126,1341
70,4192
133,2162
77,2342
126,1513
119,1666
119,21
126,1358
