avail_period,item_code
119,1759
119,989
126,1505
126,991
91,2690
63,663
98,679
68,2364
126,1391
91,2507
91,2508
105,2662
77,2939
77,2343
119,2594
126,1487
119,2032
126,1188
126,1190
98,664
68,3087
126,1061
105,2664
66,3842
105,955
119,1077
91,2469
98,995
84,2303
126,3333
126,1406
77,2918
105,2289
126,1824
126,1481
126,3376
77,2920
77,2527
126,1058
68,3177
126,1163
84,3066
98,3068
126,1197
70,2995
126,4116
126,998
126,3343
98,3
98,4
126,999
133,2204
119,2747
133,2122
133,1844
119,1106
84,2304
91,2334
91,2509
126,1125
133,2097
91,2335
77,2324
126,1215
68,2955
68,3069
126,1189
91,2459
133,2167
126,1207
126,1209
68,4107
68,2923
98,986
68,2925
126,1214
126,1216
98,646
68,3080
98,1000
67,758
119,1002
119,3491
119,1701
119,1676
126,1003
68,3097
126,1156
41,5
68,3844
126,1253
119,1552
133,2205
70,3159
126,1004
112,2006
126,1275
126,963
66,3847
126,1420
126,1422
119,2291
133,1881
126,1107
126,2574
105,2603
91,2530
77,2550
105,1706
53,4181
105,2682
77,3021
133,1718
119,1277
68,2951
133,3516
77,2566
126,1009
133,2189
126,1060
68,2956
119,1973
126,1502
126,1750
68,2978
126,1113
112,1990
119,1714
126,1115
98,1771
126,1117
98,665
126,1118
91,2531
126,1119
126,1121
66,2969
126,1105
126,2080
126,1556
119,1015
84,443
126,2093
112,1754
119,1758
119,1769
53,3258
133,2123
119,1686
70,3113
133,2124
126,1407
126,1126
77,671
77,2325
126,1130
126,1436
126,1134
126,1097
70,4193
105,2684
126,2894
105,2685
126,1571
119,1020
70,3071
84,2478
91,2447
126,1102
77,4010
126,2028
68,2993
68,3317
68,2994
119,1806
126,1051
77,3009
77,41
70,3010
126,1150
126,1444
77,3011
126,1152
133,1815
119,3488
119,1154
70,3135
70,3136
126,1570
77,2482
126,1027
126,1174
50,701
98,956
91,1692
126,1206
126,961
112,851
119,2754
70,4198
119,895
126,2902
126,1155
126,1495
126,1157
98,71
91,1837
68,2356
126,1159
119,1999
98,697
119,2567
77,2483
119,962
119,897
119,1546
91,648
66,3233
70,3065
105,2665
66,3234
66,3235
126,2529
77,676
66,3253
126,2008
119,3890
119,938
119,1282
133,2870
133,3476
77,3101
91,649
126,1748
126,650
77,3102
68,3298
126,966
119,1665
126,1288
112,1891
68,3267
70,3145
133,1742
126,3389
133,3515
119,1664
126,1172
126,1175
68,2967
126,994
98,2326
126,1348
126,1177
126,1179
105,2647
98,2467
133,1763
91,2468
119,1362
98,2635
77,2321
98,436
70,2344
133,2144
98,3057
126,2627
126,2882
126,1423
68,3058
119,1313
68,3059
77,2935
133,1643
68,3110
70,3111
126,906
105,2327
70,2926
105,2328
126,1535
126,882
119,1357
126,1363
119,1347
68,4151
119,1355
126,1183
58,3293
126,1185
77,2299
91,2553
126,1186
126,3337
126,1375
70,7
126,1192
68,2362
126,2023
68,2990
105,2648
133,2871
133,2872
84,3089
119,1762
126,908
133,1645
77,2927
126,1784
70,3015
126,1485
70,2928
119,1768
119,3635
70,2929
126,1196
119,1418
126,1198
126,1199
112,853
68,3386
98,2629
126,1204
126,1205
119,1075
68,2358
105,2645
68,2970
68,2971
68,2972
68,3091
84,3092
126,2486
119,2750
126,1646
77,2479
119,2666
126,899
119,1162
119,914
112,852
126,915
98,2689
126,1195
126,1542
77,2930
126,917
119,944
126,1211
126,3377
126,1212
119,1952
112,857
126,1149
59,4012
68,3121
126,1202
119,1678
58,3228
126,2898
98,2405
70,2306
126,1647
126,1219
126,922
119,1798
58,3229
119,900
70,2426
98,833
98,974
119,1699
133,1839
126,1248
68,3095
66,4013
126,1340
77,3083
126,1273
119,1506
133,2225
70,3016
105,2653
133,2158
70,3017
105,2646
105,2654
91,2513
126,1906
70,2307
53,3230
126,884
126,3393
91,2309
126,1523
119,1703
70,2429
133,1663
98,2430
126,1677
91,2458
119,1521
126,901
126,1648
77,2563
126,1551
119,1295
84,3195
126,1679
84,3196
126,1681
84,3197
84,3198
91,3199
98,4093
68,654
91,3200
126,925
91,3201
68,2966
91,3202
119,1394
119,1520
126,951
77,2946
98,861
133,3618
126,1112
119,1338
77,2564
119,1376
91,2547
126,1372
84,2948
119,1667
105,2659
126,1049
126,889
91,2485
126,2725
126,2027
133,2201
91,655
70,4195
77,2432
70,4196
68,3264
126,1810
119,3512
77,656
112,2656
70,3006
77,3039
77,657
126,1136
126,1116
98,928
126,1507
119,1079
77,2436
126,1400
77,658
126,1389
77,3160
119,1386
126,2735
68,755
67,756
68,4002
119,2579
126,1114
66,3238
91,1794
126,2830
105,930
98,848
126,2703
70,2382
119,1697
68,3158
70,2940
119,934
126,887
126,1404
84,2470
126,1443
126,1445
70,3141
77,3005
119,1258
133,1859
105,3472
77,2472
77,2473
126,2769
119,1032
77,678
59,3283
126,1554
126,1323
66,2867
98,2862
77,2388
68,3384
126,1504
91,2434
68,2968
91,1675
68,2366
68,2954
112,1892
112,2697
126,1461
126,1463
126,1167
66,3248
112,1895
68,3220
66,3249
68,2924
68,3222
126,1531
126,1533
91,2498
91,2063
105,1761
126,1417
133,1907
126,2884
126,940
77,4001
126,2881
126,1997
126,1467
68,3299
126,1170
112,1897
126,1471
112,1899
133,1753
77,2552
84,672
70,2986
126,1537
126,1783
105,2639
126,2891
133,2143
98,1797
126,2089
126,969
126,1796
105,942
133,2183
126,1432
91,2435
70,3187
70,3188
133,3636
126,1458
119,3607
70,4203
133,2020
98,31
112,1902
119,3637
70,2411
77,3047
126,872
126,2733
126,1544
70,3152
126,1509
112,682
133,2099
66,3239
91,2316
77,2389
119,3608
77,2492
70,2412
133,1819
126,890
126,1482
126,1056
126,1066
68,3189
105,659
77,666
70,2963
98,1693
126,1148
126,896
119,1576
126,2961
66,3240
59,2319
66,3242
112,3340
66,3243
70,3151
66,3245
66,3241
66,3246
66,3244
91,2477
91,2500
77,2391
91,1689
119,1124
77,2392
119,1705
133,2110
105,2652
68,2999
68,3190
126,1492
119,3490
126,1187
91,2493
105,660
77,2414
126,838
126,840
70,3100
119,3162
119,777
126,1547
126,1241
91,1921
119,3838
126,1549
126,2577
126,2588
112,2669
68,3123
68,3031
66,3236
119,1299
70,3147
126,1332
133,2193
91,2415
91,2494
105,2744
91,2617
126,932
119,3615
70,3000
126,2618
126,1220
68,2953
126,1222
126,1499
126,2768
91,2427
126,1225
133,1660
70,3002
126,1227
119,1268
91,2428
66,640
126,1301
119,1294
59,4011
70,3148
119,1334
98,1012
133,1627
66,3231
66,3237
119,1696
126,1231
66,4003
126,1598
70,4186
112,1985
119,870
77,4100
77,2921
68,661
126,1164
112,2707
91,1938
119,1433
119,3884
126,1234
126,1235
66,3860
105,2619
119,1018
119,2029
119,1518
119,1524
133,2869
91,2520
91,2521
70,2980
77,433
119,1370
84,2394
77,2981
119,1409
126,2731
126,1431
105,2542
126,871
98,703
126,1242
126,1625
68,3025
126,2889
126,1367
126,1249
126,993
133,1371
126,1022
119,1472
112,3341
68,2982
70,3131
68,3149
70,3132
133,1918
91,2450
84,3133
70,3134
91,2495
126,1460
84,2367
84,2368
126,2369
84,2417
126,894
126,2736
68,3292
119,1442
126,1474
126,1109
119,912
77,3118
68,3119
126,1203
133,2105
126,1526
119,3407
126,1441
70,3084
98,2752
84,2371
126,2759
77,2372
119,1135
119,2767
126,2730
119,1995
126,996
68,3096
98,2644
119,1171
70,50
126,1267
91,2625
105,2433
60,3126
70,3137
105,2557
119,1534
112,2700
126,22
126,1450
112,2701
126,1453
119,1853
70,2984
126,1455
126,1457
126,1603
105,2556
133,2161
133,1741
119,1743
126,844
91,2602
126,781
126,877
126,1538
126,1007
133,1720
126,1279
119,3391
126,2346
119,2628
105,2673
119,1911
133,23
119,1233
126,3397
70,2985
84,2338
126,1465
126,1283
98,2945
84,2460
126,935
126,1469
119,1321
91,2461
70,2373
91,3191
91,3192
91,3193
119,1345
77,674
91,3194
133,1775
77,3030
126,992
119,997
133,2098
126,1016
98,2488
68,3995
119,1421
126,1293
126,977
126,1019
119,1374
126,2374
126,1477
70,3026
70,4183
119,2059
119,1352
126,1480
119,1390
98,850
126,2636
119,1415
119,1427
126,27
119,1419
105,1793
126,1426
77,3003
77,3004
126,1300
126,1021
126,1304
126,1305
126,1037
133,2207
126,1038
133,1937
126,1456
91,2514
119,1698
126,1483
68,3272
119,978
91,1700
126,1484
77,2375
53,4102
126,1486
77,3114
70,3082
91,2681
91,2515
77,2941
133,2073
91,2535
105,2649
126,1307
66,2300
91,2537
126,1478
119,885
68,3034
119,1024
119,2292
68,3036
105,1025
68,3037
126,1315
119,1026
126,26
119,1817
119,1065
105,979
119,2743
98,3079
66,687
70,2962
126,1184
77,3115
91,2755
126,920
66,688
77,2942
68,3275
70,643
77,2329
112,3161
98,2749
77,3150
91,2539
70,8
119,1540
119,1104
126,1320
91,2523
126,1324
119,1122
91,2524
119,2543
126,1210
105,2573
105,2489
119,1680
126,1031
126,1052
119,1217
133,2106
68,2974
98,1832
68,3427
126,2390
105,1989
126,1228
105,2672
126,1230
84,698
70,4191
126,2274
68,3045
133,2873
126,1057
126,3165
77,696
91,2765
112,1908
105,2683
126,1800
68,2983
77,16
126,1232
105,2677
105,2667
126,2315
119,1292
105,2670
126,1308
77,2330
105,2678
105,2674
77,2331
70,3018
133,2011
70,2933
77,3019
126,1329
105,2675
126,1238
126,1240
126,1597
91,2612
126,1006
98,1670
119,2614
119,2615
77,2484
112,1888
91,2525
119,834
133,2115
77,2917
112,1992
126,2904
119,1316
70,4176
133,1672
126,2276
91,1808
91,434
68,3270
91,2532
126,1244
66,2301
119,926
126,1247
105,2658
105,2466
126,1251
126,2883
70,2302
68,2357
70,3127
119,1382
119,1765
119,1368
68,2996
59,686
126,3582
68,3033
126,2641
68,3046
119,866
126,2724
91,2404
133,3302
126,2888
133,2125
59,642
77,3143
68,3153
70,4204
126,1252
126,1254
126,1476
77,2332
77,2979
126,1257
119,2616
112,2661
68,2360
91,2455
133,2024
119,1089
133,2874
126,1069
133,2149
126,2691
68,3038
77,2934
77,2936
133,3634
126,1541
119,1464
126,2275
91,2554
77,3051
68,3076
126,1489
126,1145
98,929
126,1259
126,921
112,855
112,856
126,1261
77,2740
126,1262
126,1193
126,1266
126,1592
91,2536
70,4185
126,2696
77,3042
105,2651
126,2273
77,2418
126,1086
77,2336
53,3211
91,2526
126,1137
126,1090
126,2734
126,1091
126,873
119,1143
126,931
126,918
126,3385
126,1512
98,1922
126,1272
119,3375
126,1522
98,832
91,2540
105,2671
68,2370
68,3040
126,1280
91,2541
105,2676
68,3032
126,2595
68,793
70,4190
126,1098
119,835
133,2120
126,1099
126,1314
133,2912
70,652
112,1823
91,1802
119,1561
119,1804
70,2916
119,923
126,1519
126,1281
126,1284
126,1286
126,1260
126,1459
68,3044
126,1291
119,1722
126,1508
126,3383
119,1306
119,2710
48,4205
126,3167
105,2657
126,1545
77,673
133,1624
98,849
91,1807
126,1550
70,3117
68,3077
126,1704
70,2310
126,1011
98,860
126,927
126,1296
77,783
119,1651
126,1298
126,967
126,1302
126,1473
98,694
126,1596
84,441
126,2885
91,2409
126,3588
126,842
133,2875
133,2208
119,1787
68,2311
119,1380
119,1397
70,4201
133,2876
119,1385
98,442
133,1776
133,2116
126,1055
77,2931
119,1413
77,2570
77,2449
98,1826
126,2705
105,1017
119,1072
77,4009
126,943
126,982
66,2339
84,49
126,1310
98,72
98,73
68,3041
70,2975
98,70
126,1317
126,1318
133,2057
70,2977
126,3345
105,2660
112,3483
77,2997
105,2555
77,3105
119,1070
126,3599
98,862
70,4199
98,2915
126,1452
91,2399
91,2445
77,4006
112,1954
126,1325
119,1129
126,1328
126,1309
126,1330
126,1331
126,2732
68,3219
126,1333
126,2052
105,2323
98,1690
126,1054
98,704
66,2312
133,2908
66,3250
70,3086
126,933
91,2544
77,2441
119,1120
126,1127
112,1955
126,971
98,973
119,1682
77,3055
70,3122
133,2186
91,2545
91,2546
70,3128
112,1924
119,1688
126,1498
70,2437
68,3295
126,1448
59,3281
126,3370
66,3251
126,1578
126,1579
126,1580
126,1581
91,2452
126,1582
91,2453
91,2454
126,1050
126,1584
105,2601
119,987
126,1650
70,3130
119,2770
66,2313
126,919
91,2766
126,886
112,1569
91,2402
91,2764
126,891
126,4154
126,1585
91,1925
133,1716
126,2095
70,3085
105,2680
119,1265
133,1731
126,1290
133,2209
126,2087
126,2012
126,948
119,1336
91,1719
126,2623
126,1360
126,950
112,1986
119,1256
119,1721
98,693
126,952
77,2919
126,3875
126,1528
98,1910
84,685
126,3885
68,3255
126,3346
126,1553
91,2503
126,1619
98,2474
126,1555
133,1767
68,3109
126,939
126,953
68,1623
126,1402
126,1008
119,1979
126,2075
119,1064
119,1430
126,1073
126,2892
70,2413
126,2709
126,1080
68,3225
70,3129
77,3035
119,1046
119,1063
119,2025
126,888
98,18
126,1081
126,957
84,2438
126,4148
98,3204
98,3203
126,1084
126,875
126,1559
68,3993
126,1095
77,2548
119,1500
77,2549
126,3342
126,1801
105,2650
119,2757
91,2395
119,1200
77,3088
91,2396
70,2353
91,2397
91,2398
91,2400
126,2278
126,960
70,3074
126,1496
133,1851
126,2905
119,1133
126,1096
112,854
105,1941
133,2111
84,695
126,2597
126,1101
91,2538
68,3218
53,3260
77,2401
126,1961
91,2687
119,1849
77,2439
68,3064
77,3155
77,3156
98,33
126,1638
133,2910
126,1984
126,35
70,3024
68,3023
126,36
126,1274
105,2420
53,4179
126,3396
119,3616
126,1224
77,2322
126,1565
126,1558
126,1593
119,1557
126,1639
126,968
68,3116
126,1221
77,2943
59,3282
98,3067
112,1916
126,2091
126,3876
84,2403
126,1510
105,2655
91,2496
70,2407
59,3284
59,3291
77,337
56,3280
91,445
70,3124
91,386
91,412
77,385
91,331
91,425
91,438
68,533
77,332
77,333
84,334
84,335
98,346
91,352
98,374
77,353
84,347
84,376
77,377
77,379
91,368
91,380
91,369
77,370
70,348
84,371
84,437
77,354
84,419
119,409
84,388
77,357
70,324
77,373
84,443
84,372
91,408
84,367
91,351
77,387
126,650
84,355
105,435
84,384
98,436
91,398
77,399
91,413
77,414
77,415
84,416
77,417
84,444
59,3279
84,439
77,395
91,396
91,397
126,426
77,3160
68,572
98,349
77,365
119,401
91,359
77,433
77,340
84,328
84,329
77,330
70,344
84,326
84,400
84,327
77,410
91,411
105,420
77,421
91,418
91,434
59,3276
91,402
84,390
84,381
84,382
91,383
98,366
91,405
84,441
84,406
77,407
98,442
98,350
77,424
84,363
112,393
77,389
84,394
84,429
84,430
126,391
98,360
91,403
77,404
84,339
59,3287
84,364
84,336
